6.009213	0.0	0.0	0.0	0.0
6.019304	0.00167	0.0	-0.00167	0.0
6.029444	0.00397	0.0	-0.00397	0.0
6.039529	0.00687	0.00873	-0.00687	-0.00873
6.04966	0.0104	0.01745	-0.0104	-0.01745
6.059918	0.0146	0.03491	-0.0146	-0.03491
6.069969	0.01933	0.05236	-0.01932	-0.04363
6.080088	0.02469	0.07854	-0.02469	-0.06109
6.090187	0.03066	0.08727	-0.03066	-0.06981
6.100569	0.03746	0.08727	-0.03746	-0.06981
6.110998	0.04494	0.08727	-0.04494	-0.06109
6.121201999999999	0.05287	0.07854	-0.05287	-0.04363
6.131312	0.06134	0.06981	-0.06134	-0.03491
6.1414040000000005	0.07041	0.05236	-0.07041	-0.03491
6.151859	0.08048	0.03491	-0.08048	-0.03491
6.161646	0.09044	0.03491	-0.09044	-0.04363
6.171794	0.10141	0.03491	-0.10141	-0.05236
6.181897	0.11295	0.03491	-0.11295	-0.06981
6.191978	0.12506	0.05236	-0.12506	-0.08727
6.202175	0.13795	0.06981	-0.13795	-0.11345
6.212322	0.15138	0.08727	-0.15138	-0.13963
6.222498000000001	0.16548	0.11345	-0.16548	-0.16581
6.232646	0.18015	0.13963	-0.18015	-0.19199
6.242743	0.19542	0.17453	-0.19542	-0.22689
6.253469	0.21224	0.20944	-0.21224	-0.2618
6.263251	0.22816	0.23562	-0.22816	-0.29671
6.273394000000001	0.24531	0.27053	-0.24531	-0.32289
6.283535	0.26308	0.29671	-0.26308	-0.34034
6.293642	0.28139	0.33161	-0.28139	-0.34907
6.303799	0.30041	0.36652	-0.30041	-0.35779
6.314013	0.32018	0.41015	-0.32018	-0.35779
6.324177	0.34045	0.43633	-0.34046	-0.34907
6.3343050000000005	0.36127	0.46251	-0.36127	-0.34907
6.3443760000000005	0.38259	0.47124	-0.38259	-0.34907
6.354553	0.40475	0.47124	-0.40475	-0.35779
6.364694999999999	0.42745	0.47124	-0.42745	-0.36652
6.374823	0.45074	0.47124	-0.45074	-0.38397
6.384967	0.47467	0.47124	-0.47467	-0.40142
6.395075	0.49914	0.47124	-0.49914	-0.4276
6.405309	0.52455	0.47996	-0.52455	-0.45379
6.415422	0.55026	0.49742	-0.55026	-0.48869
6.425505	0.57651	0.50614	-0.57651	-0.5236
6.4356860000000005	0.60364	0.53232	-0.60364	-0.5585
6.4458150000000005	0.63124	0.5585	-0.63124	-0.59341
6.455914	0.65936	0.57596	-0.65936	-0.63704
6.466083	0.68832	0.61086	-0.68832	-0.68068
6.476223	0.7178	0.64577	-0.7178	-0.72431
6.48635	0.74785	0.68068	-0.74786	-0.76794
6.496476	0.77852	0.71559	-0.77852	-0.8203
6.5065669999999995	0.8097	0.75922	-0.80971	-0.86394
6.516756	0.84182	0.80285	-0.84182	-0.90757
6.5269449999999996	0.87454	0.84648	-0.87454	-0.95993
6.537047	0.90759	0.89012	-0.90759	-1.01229
6.5471900000000005	0.9414	0.94248	-0.9414	-1.05592
6.5573429999999995	0.97586	0.99484	-0.97586	-1.09956
6.56747	1.01085	1.03847	-1.01086	-1.11701
6.5775809999999995	1.0464	1.09083	-1.0464	-1.14319
6.587704	1.0826	1.13446	-1.0826	-1.15192
6.597856	1.11954	1.18682	-1.11953	-1.15192
6.607937	1.1568	1.23046	-1.1568	-1.15192
6.618299	1.19579	1.28282	-1.19579	-1.16937
6.62833	1.2341	1.32645	-1.2341	-1.1781
6.638444	1.27334	1.37881	-1.27334	-1.19555
6.6486149999999995	1.31344	1.42244	-1.31344	-1.22173
6.65895	1.35548	1.4748	-1.35548	-1.24791
6.6689039999999995	1.39528	1.51844	-1.39528	-1.28282
6.679017	1.43697	1.56207	-1.43697	-1.32645
6.689141	1.47933	1.58825	-1.47933	-1.36136
6.699253999999999	1.52228	1.6057	-1.52228	-1.40499
6.7094119999999995	1.56605	1.62316	-1.56605	-1.44862
6.719765	1.61128	1.64934	-1.61128	-1.50098
6.7297	1.65526	1.66679	-1.65526	-1.55334
6.739953	1.70132	1.69297	-1.70132	-1.6057
6.749938	1.74671	1.72788	-1.74671	-1.66679
6.760385	1.79493	1.75406	-1.79493	-1.72788
6.770303999999999	1.84125	1.78896	-1.84126	-1.79769
6.780296000000001	1.88854	1.82387	-1.88854	-1.85878
6.792486	1.94721	1.85877	-1.94721	-1.92859
6.800528	1.98616	1.90241	-1.98616	-1.9984
6.812047	2.04294	1.93731	-2.04294	-2.05949
6.820949000000001	2.0872	1.98968	-2.0872	-2.1293
6.832459	2.14616	2.04203	-2.14616	-2.19911
6.850161	2.23687	2.14675	-2.23687	-2.32129
6.854487	2.25917	2.16421	-2.25917	-2.34747
6.864665	2.31252	2.22529	-2.31252	-2.40855
6.87478	2.36609	2.28638	-2.36609	-2.46964
6.884947	2.42059	2.35619	-2.42059	-2.53073
6.895064	2.47543	2.41728	-2.47543	-2.58309
6.905155000000001	2.53073	2.48709	-2.53073	-2.64417
6.915305	2.58701	2.54818	-2.58701	-2.70526
6.93372	2.69157	2.67035	-2.69157	-2.80998
6.93808	2.7162	2.70526	-2.7162	-2.82743
6.948223	2.77443	2.77507	-2.77442	-2.88852
6.958346000000001	2.83316	2.83616	-2.83316	-2.94088
6.9684539999999995	2.89239	2.90597	-2.89239	-2.99324
6.978797999999999	2.95388	2.96706	-2.95388	-3.0456
6.988758	3.01326	3.03687	-3.01326	-3.10669
6.999175999999999	3.07628	3.10669	-3.07628	-3.15032
7.009189	3.1374	3.16777	-3.1374	-3.21141
7.020425	3.20456	3.22886	-3.20456	-3.26376
