1.29316	0.0	0.0	0.0	0.0	
1.297893	0.000721	0.0	0.000722	0.0	
1.307966	0.003025	0.0	0.003026	0.008727	
1.318099	0.005961	0.008726	0.005962	0.017453	
1.328349	0.009566	0.017453	0.009566	0.02618	
1.338456	0.013728	0.034906	0.013729	0.043633	
1.348511	0.018474	0.052359	0.018474	0.061087	
1.358962	0.024099	0.069813	0.024099	0.087267	
1.369173	0.030167	0.095993	0.030167	0.113447	
1.379246	0.036778	0.122173	0.036779	0.1309	
1.389385	0.044053	0.148353	0.044054	0.165806	
1.399635	0.052047	0.174533	0.052048	0.191986	
1.409799	0.060582	0.209439	0.060583	0.226893	
1.419931	0.069706	0.244346	0.069707	0.253073	
1.430046	0.079431	0.279252	0.079432	0.296706	
1.4402549999999998	0.089877	0.322886	0.089877	0.331613	
1.450414	0.100889	0.357792	0.100889	0.366519	
1.460525	0.112457	0.401425	0.112457	0.410153	
1.470716	0.124753	0.436332	0.124753	0.445059	
1.480865	0.1376	0.479965	0.1376	0.488692	
1.491015	0.151072	0.523598	0.151073	0.532326	
1.501348	0.16544	0.575958	0.165441	0.567232	
1.511506	0.180168	0.610865	0.180169	0.610865	
1.521658	0.195507	0.663225	0.195508	0.654499	
1.531821	0.211486	0.715585	0.211486	0.698132	
1.543396	0.230544	0.750491	0.230545	0.741765	
1.552186	0.2454	0.802851	0.245401	0.785398	
1.562347	0.263233	0.855211	0.263234	0.829032	
1.5806209999999998	0.297768	0.942477	0.297768	0.916298	
1.585173	0.306296	0.959931	0.306296	0.933751	
1.595199	0.325875	1.021017	0.325876	0.977385	
1.605373	0.346362	1.06465	0.346362	1.029744	
1.615549	0.367467	1.11701	0.367468	1.073378	
1.625757	0.389273	1.16937	0.389274	1.117011	
1.635835	0.411401	1.22173	0.411401	1.169371	
1.646203	0.434824	1.27409	0.434824	1.213004	
1.656095	0.457744	1.32645	0.457745	1.256637	
1.666292	0.481999	1.37881	0.482	1.308997	
1.676392	0.506645	1.43117	0.506646	1.35263	
1.6866759999999998	0.532373	1.483529	0.532374	1.40499	
1.7057099999999998	0.58269	1.544616	0.58269	1.448623	
1.710592	0.595517	1.614429	0.595518	1.50971	
1.720414	0.62205	1.666789	0.622051	1.56207	
1.730537	0.650029	1.719149	0.650029	1.605703	
1.740591	0.678423	1.780235	0.678424	1.649336	
1.750788	0.707862	1.832595	0.707863	1.701696	
1.7609580000000002	0.737831	1.884955	0.737832	1.754056	
1.771148	0.768479	1.937315	0.76848	1.797689	
1.781264	0.797753	1.998402	0.797754	1.841323	
1.791337	0.826336	2.050761	0.826336	1.893682	
1.801611	0.854915	2.103121	0.854916	1.946042	
1.811774	0.882601	2.155481	0.882602	1.989675	
1.82184	0.909458	2.216568	0.909459	2.042035	
1.831947	0.93587	2.268928	0.935871	2.085669	
1.842121	0.961887	2.321288	0.961887	2.138028	
1.852247	0.987219	2.373647	0.987219	2.181662	
1.862773	1.012934	2.426007	1.012935	2.234022	
1.872607	1.036423	2.487094	1.036423	2.286381	
1.882784	1.060167	2.530727	1.060168	2.330015	
1.892838	1.083068	2.591814	1.083069	2.382375	
1.903006	1.105745	2.644173	1.105746	2.434734	
1.913289	1.12795	2.70526	1.127951	2.478368	
1.923356	1.149193	2.75762	1.149193	2.530728	
1.933492	1.170026	2.80998	1.170027	2.574361	
1.9436	1.190245	2.86234	1.190245	2.626721	
1.953757	1.210011	2.914699	1.210012	2.679081	
1.963941	1.229251	2.975786	1.229251	2.722714	
1.974085	1.24786	3.036873	1.24786	2.775074	
1.984266	1.266076	3.089232	1.266077	2.818707	
1.994454	1.283547	3.150319	1.283548	2.871067	
2.00482	1.300845	3.211405	1.300845	2.9147	
2.014791	1.316954	3.263765	1.316955	2.96706	
2.024966	1.332826	3.324852	1.332826	3.010693	
2.035079	1.348056	3.385938	1.348056	3.063053	
2.04517	1.362711	3.438298	1.362711	3.106686	
2.0552490000000003	1.376815	3.490658	1.376816	3.159046	
2.066262	1.391552	3.534291	1.391553	3.202679	
2.076269	1.404428	3.551745	1.404429	3.255039	
2.086432	1.416964	3.569198	1.416965	3.298672	
2.096557	1.428911	3.577925	1.428912	3.324852	
2.115503	1.448963	3.577925	1.448964	3.359759	
2.119977	1.453755	3.569198	1.453755	3.359759	
2.130197	1.46403	3.560471	1.464031	3.359759	
2.140248	1.473621	3.551745	1.473621	3.351032	
2.150391	1.482776	3.534291	1.482776	3.342306	
2.160638	1.491495	3.516838	1.491495	3.324852	
2.170839	1.499648	3.499385	1.499649	3.307399	
2.180957	1.507227	3.473205	1.507228	3.289946	
2.191195	1.514383	3.447025	1.514383	3.263766	
2.201323	1.520957	3.420845	1.520958	3.228859	
2.213596	1.528139	3.385938	1.52814	3.202679	
2.221607	1.532599	3.351032	1.5326	3.167773	
2.231735	1.537711	3.316125	1.537712	3.12414	
2.241949	1.542384	3.281219	1.542384	3.080506	
2.251994	1.546526	3.237585	1.546527	3.036873	
2.26212	1.550249	3.193952	1.55025	2.99324	
2.282298	1.555471	3.106686	1.555472	2.905973	
2.286838	1.55673	3.089232	1.55673	2.879793	
2.296983	1.559057	3.045599	1.559058	2.83616	
2.307455	1.561076	3.001966	1.561077	2.7838	
2.318873	1.562838	2.949606	1.562839	2.73144	
2.327337	1.567781	2.905973	1.567781	2.679081	
2.337442	1.567781	2.86234	1.567781	2.635447	
2.347553	1.567781	2.80998	1.567781	2.583087	
2.357681	1.567781	2.75762	1.567781	2.530728	
2.367917	1.567781	2.70526	1.567781	2.478368	
2.378035	1.567781	2.661627	1.567781	2.426008	
